代码,基金名,四分位,夏普率,标准差,同类排名,阶段涨幅,总分
008871,大成睿裕六月持有股票A,2.4,0.285,0.825,9.419,-5.734,7.195005530547684
011726,安信新常态股票C,0.8,0.0,0.0,13.54,-7.161,7.179083244377057
008872,大成睿裕六月持有股票C,2.4,0.278,0.826,9.279,-5.793,6.989089085340536
008128,湘财长源股票型A,2.4,0.328,1.108,8.512,-5.576,6.772051401525421
008129,湘财长源股票型C,2.4,0.32,1.108,8.398,-5.636,6.589964218113525
008618,永赢医药健康A,2.2,0.142,1.066,9.08,-5.961,6.527433965730352
009550,汇添富开放优势6个月持有期股票A,1.8,0.0,0.0,11.381,-6.729,6.451951354227903
008619,永赢医药健康C,2.2,0.14,1.066,9.021,-5.98,6.447428582596513
009551,汇添富开放优势6个月持有期股票C,1.8,0.0,0.0,11.226,-6.761,6.265682075633002
009240,泰康蓝筹优势一年持有股票,1.6,0.0,0.0,11.418,-6.758,6.260776864846418
010341,招商产业精选股票A,1.8,0.0,0.0,11.173,-6.859,6.114449337968041
009069,大成睿鑫股票A,1.8,0.0,0.0,11.193,-6.901,6.092467388250578
010409,富国消费精选30股票,1.6,0.0,0.0,11.19,-6.73,6.060469583071036
009070,大成睿鑫股票C,1.8,0.0,0.0,11.139,-6.916,6.022964401068135
010342,招商产业精选股票C,1.8,0.0,0.0,11.077,-6.89,5.986620059622458
010420,民生加银成长优选股票,1.8,0.0,0.0,10.906,-6.889,5.816769550146526
010112,广发研究精选股票A,1.8,0.0,0.0,10.804,-6.895,5.7093222509032735
008709,银河龙头股票,2.0,0.0,0.0,10.893,-7.248,5.6448968160545485
008736,南方高股息股票A,1.4,0.0,0.0,11.071,-6.832,5.63917148848523
010113,广发研究精选股票C,1.8,0.0,0.0,10.748,-6.911,5.637388010458151
004891,华润元大成长精选A,2.4,0.102,0.769,8.692,-6.414,5.548992844001578
009899,上银内需增长股票,1.6,0.0,0.0,10.777,-6.848,5.528460900946427
008737,南方高股息股票C,1.4,0.0,0.0,10.945,-6.864,5.480870620331105
004892,华润元大成长精选C,2.4,0.1,0.768,8.641,-6.439,5.470936766217538
920002,中金精选股票A,1.4,0.0,0.0,10.889,-6.966,5.323135293655922
920922,中金精选股票C,1.4,0.0,0.0,10.787,-6.987,5.200335587702213
010160,广发高端制造股票C,1.6,0.0,0.0,10.688,-7.093,5.195271616863118
007287,合煦智远消费主题股票发起式A,2.0,0.268,1.074,7.761,-6.145,4.957122141575993
007674,工银产业升级股票A,2.0,0.182,1.396,7.516,-6.251,4.843760589948189
009601,招商科技动力3个月股票A,1.2,0.0,0.0,10.613,-6.977,4.836675959505513
007288,合煦智远消费主题股票发起式C,2.0,0.262,1.074,7.671,-6.193,4.813393299681507
009864,招商景气优选股票A,1.6,0.0,0.0,10.301,-7.157,4.7438043453003775
007675,工银产业升级股票C,2.0,0.175,1.396,7.436,-6.329,4.678826749629348
009602,招商科技动力3个月股票C,1.2,0.0,0.0,10.457,-7.007,4.649769149271083
009865,招商景气优选股票C,1.6,0.0,0.0,10.227,-7.188,4.638932071186267
009898,民生加银医药健康股票,1.6,0.0,0.0,10.149,-7.236,4.512655446393926
008768,创金上证超大盘量化A,1.6,0.26,0.99,7.415,-6.202,4.063814397526502
008769,创金上证超大盘量化C,1.6,0.252,0.99,7.332,-6.249,3.924654168799023
010957,九泰久安量化A,0,0.0,0.0,0,0.0,0.0
010961,九泰久安量化C,0,0.0,0.0,0,0.0,0.0
011107,九泰天兴量化智选A,0,0.0,0.0,0,0.0,0.0
011108,九泰天兴量化智选C,0,0.0,0.0,0,0.0,0.0
011254,长江量化科技精选一个月滚动持有股票A,0,0.0,0.0,0,0.0,0.0
011255,长江量化科技精选一个月滚动持有股票C,0,0.0,0.0,0,0.0,0.0
011269,中银证券优势制造股票A,0,0.0,0.0,0,0.0,0.0
011270,中银证券优势制造股票C,0,0.0,0.0,0,0.0,0.0
011373,招商前沿医疗保健股票A,0,0.0,0.0,0,0.0,0.0
011374,招商前沿医疗保健股票C,0,0.0,0.0,0,0.0,0.0
011824,浙商汇金量化臻选股票A,0,0.0,0.0,0,0.0,0.0
011825,浙商汇金量化臻选股票C,0,0.0,0.0,0,0.0,0.0
012210,申万菱信智能汽车股票A,0,0.0,0.0,0,0.0,0.0
012211,申万菱信智能汽车股票C,0,0.0,0.0,0,0.0,0.0
012244,广发金融地产精选股票A,0,0.0,0.0,0,0.0,0.0
012245,广发金融地产精选股票C,0,0.0,0.0,0,0.0,0.0
012315,创金合信港股通成长股票A,0,0.0,0.0,0,0.0,0.0
012316,创金合信港股通成长股票C,0,0.0,0.0,0,0.0,0.0
012445,华富新能源股票型发起式,0,0.0,0.0,0,0.0,0.0
